CNN pose score,CNN affinity
0.9216,2.183
0.9214,2.143
0.921,2.142
0.9167,2.109
0.9162,2.35
0.9085,2.137
0.9076,2.117
0.9038,2.377
0.9017,2.291
0.9016,2.074
0.9007,2.143
0.8998,2.021
0.8998,2.297
0.8989,2.116
0.8987,2.438
0.8983,2.198
0.8982,2.666
0.8981,2.275
0.8979,2.209
0.8973,2.306
0.8964,2.055
0.896,2.088
0.893,2.22
0.8927,2.271
0.8922,2.621
0.8922,2.419
0.8909,2.203
0.8896,2.066
0.8881,2.252
0.8872,2.26
0.886,2.451
0.8843,2.049
0.8841,2.132
0.8836,2.446
0.8834,2.147
0.8829,2.275
0.8825,2.235
0.8818,2.231
0.8799,1.939
0.879,2.498
0.8772,2.377
0.8761,2.284
0.8759,2.389
0.8751,2.29
0.8741,2.362
0.8734,2.042
0.8728,2.378
0.872,2.864
0.8707,2.174
0.8671,2.282
0.8666,2.312
0.8642,2.752
0.8633,2.289
0.8618,2.405
0.8604,2.556
0.8603,2.496
0.8601,2.095
0.8593,2.963
0.8563,2.568
0.8562,2.235
0.8562,2.225
0.8559,2.441
0.8527,2.483
0.8523,2.091
0.8523,3.486
0.8517,3.309
0.8485,2.281
0.847,2.694
0.8448,2.328
0.844,2.017
0.8439,2.669
0.8425,2.138
0.8418,2.184
0.8409,2.933
0.8398,2.359
0.8376,2.785
0.837,2.214
0.836,3.464
0.8344,2.708
0.8342,2.258
0.834,2.118
0.8313,2.685
0.831,2.727
0.8302,2.493
0.8302,3.043
0.8269,2.378
0.8269,3.304
0.8218,2.768
0.8213,2.968
0.8203,2.792
0.8125,2.407
0.8122,3.211
0.8104,2.172
0.8073,3.55
0.8042,3.422
0.7919,2.372
0.7429,3.365
0.7216,2.686
